airTemp,waterTemp,salinity,pH,turbidity,sunRadiation,rainfall,rainfall24,rainfall48,rainfall72,windDirection,windStrength,UBB/37,UBB/22,EC,EN,PA,SA,CP,numBathers,numChildren,numDogs,numSeagull,numPigeons,beachUnclean,seaSurfaceUnclean,wellspring,coasalSorce,seaTurbidity
21,21,34.65,8.08,2.2,135,0,2,2.1,2.1,22,0.6,400,320,160,25,70,0,5,0,0,0,0,0,0,0,0,0,0
21,21,34.39,8.1,1.3,135,0,2,2.1,2.1,22,0.6,10,0,130,12,30,6,4,29,2,0,0,0,0,0,0,0,0
20,17,22.92,7.87,1,0,0,2,2.1,2.1,28,0.1,60,2000,580,180,50,28,0,0,0,0,0,0,0,0,2,1,0
20,17,23.95,8.03,0.6,0,0,2,2.1,2.1,28,0.1,66,1400,550,200,30,43,3,0,0,0,0,0,0,0,0,0,0
20,18,23.94,8.04,0.6,0,0,2,2.1,2.1,28,0.1,100,1280,390,150,90,30,7,0,0,0,0,0,0,0,0,0,0
20,18,24.5,8.01,1.2,0,0,2,2.1,2.1,0,0,74,1280,650,210,150,40,0,0,0,0,0,0,0,0,0,0,0
20,18,24.12,8.02,0.8,0,0,2,2.1,2.1,0,0,880,400,390,110,150,43,13,0,0,0,0,0,0,0,0,0,0
21.5,17,30.15,8.02,1.2,0,0,2,2.1,2.1,8,0.7,2001,2001,20,13,30,0,6,0,0,0,0,0,0,0,1,3,0
21.5,18.5,36.42,8.05,1.3,0,0,2,2.1,2.1,8,0.7,2001,2001,6,6,200,0,2,2,0,2,0,0,0,0,0,0,0
21.5,18.5,29.81,8.04,1.7,0,0,2,2.1,2.1,8,0.7,2001,2001,100,15,10,0,0,9,0,0,0,0,0,0,0,0,0
21.5,19,36.72,8.05,0.9,0,0,2,2.1,2.1,6,0.8,2001,2001,5,1,10,0,2,0,0,0,0,0,0,0,0,0,0
21.5,19,36.01,8.01,1.4,0,0,2,2.1,2.1,6,0.8,2001,2001,10,60,130,0,0,10,0,0,0,0,0,0,0,0,0
20,17,32.25,8.04,0.8,58.74,0,2,2.1,2.1,8,0.6,114,2001,300,100,25,0,10,0,0,0,0,0,1,0,3,1,0
19,18,35.48,8.04,0.9,8,0,2,2.1,2.1,8,0.6,50,2001,160,48,50,5,3,0,0,0,1,0,0,0,2,1,0
19,18.5,36.05,8.08,0.4,8,0,2,2.1,2.1,8,0.6,20,1500,150,18,30,1,7,0,0,1,30,50,1,0,0,0,0
19.5,18,24.57,8.03,0.6,8,0,2,2.1,2.1,6,0.7,56,2001,180,80,30,10,30,0,0,0,0,0,1,0,0,1,0
20,18,34.13,8.01,0.9,8,0,2,2.1,2.1,6,0.7,63,1600,260,40,40,0,16,0,0,0,0,0,1,0,0,0,0
25,18,15.79,8.04,0.6,964.84,0,0,2.1,2.1,16,1.3,60,1200,260,42,0,0,5,0,0,0,3,0,1,4,1,2,0
25,20,32.17,8.07,1.1,959.94,0,0,2.1,2.1,16,1.3,216,2001,120,63,80,5,11,3,0,0,0,0,0,0,1,1,0
25,20,33.29,8.1,1.3,956.17,0,0,2.1,2.1,16,1.3,320,2001,250,25,40,0,7,13,3,4,0,0,0,0,0,0,0
25,21,29.5,8.06,0.7,952.4,0,0,2.1,2.1,16,1.2,220,960,40,18,0,0,1,23,1,0,0,0,0,0,0,0,0
25,21,25.7,8.04,0.8,948.63,0,0,2.1,2.1,16,1.2,80,1280,50,10,90,1,1,17,3,0,0,0,0,0,0,0,0
25,18,32.28,8.12,1.1,710.87,0,0,2,2.1,22,0.8,35,1750,36,18,10,0,6,0,0,0,5,0,1,0,2,0,0
25,18,33.06,8.13,0.7,666.54,0,0,2,2.1,22,0.8,11,720,33,10,8,0,0,25,2,0,0,0,1,0,0,0,0
25,18,27.59,8.09,0.9,651.77,0,0,2,2.1,20,1,110,1200,100,40,0,0,9,25,2,0,0,0,1,0,0,0,0
25,19,32.13,8.11,2.4,636.99,0,0,2,2.1,20,1,180,1040,8,18,3,0,0,50,0,0,0,0,0,0,0,0,0
25,19,32.3,8.11,2.6,607.44,0,0,2,2.1,20,1,1570,2001,3,8,10,0,0,30,0,0,0,0,0,0,0,0,0
24.5,19,16.33,7.82,2.3,63.68,0,0,2,2.1,20,1,2001,2001,30,33,8,8,10,3,0,0,0,0,0,0,0,2,0
24.5,19,30.88,7.96,0.5,50.15,0,0,2,2.1,20,1,2001,2001,280,40,0,0,5,11,0,0,0,0,0,0,0,0,0
24.5,20,27.02,7.97,2.4,188,0,0,2,2.1,20,1,1500,2001,480,390,0,0,7,31,1,0,0,0,0,0,0,0,0
24.5,21.5,25.69,7.97,0.6,188,0,0,2,2.1,22,0.9,40,2001,7,14,3,1,1,20,3,0,0,0,0,0,0,0,0
24.5,21.5,23.11,7.92,0.5,188,0,0,2,2.1,22,0.9,85,2001,7,25,100,4,3,29,0,0,0,0,0,0,0,0,0
22,17,34.24,8.1,0.5,0,0,0,2,2.1,24,0.2,25,1500,55,34,50,4,2,0,0,0,0,0,0,0,0,0,0
20,19,36.17,8.3,0.6,0,0,0,2,2.1,24,0.2,23,900,25,6,2,0,1,0,0,0,0,0,0,0,0,0,0
21,19,36.09,8.02,0.7,0,0,0,2,2.1,24,0.2,12,700,26,7,18,3,0,0,0,0,0,0,0,0,0,0,0
20,19,35.67,8.03,0.8,0,0,0,2,2.1,0,0,120,2001,25,18,10,2,0,0,0,0,0,0,0,0,0,0,0
20,19,35.51,8.04,1.7,0,0,0,2,2.1,0,0,160,1600,45,25,10,5,1,0,0,0,0,0,0,0,0,0,0
22.5,18,20.94,7.96,1,0,0,0,2,2.1,8,0.9,2001,2001,100,35,3,8,1,0,0,0,0,0,0,0,3,0,0
22,19,35.3,7.97,0.5,0,0,0,2,2.1,8,0.9,2001,2001,13,3,2,1,1,0,0,0,0,0,0,0,1,0,0
22,19,32.83,7.94,1.1,0,0,0,2,2.1,8,0.9,1300,2001,85,13,4,0,0,0,0,0,0,0,0,0,0,0,0
19.5,20,35.1,7.98,0.8,0,0,0,2,2.1,6,0.9,2001,2001,15,4,60,0,0,0,0,0,0,0,0,0,0,0,0
