AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,ecoli
22.9,0.12,69,21.1,13.6,88,117,30,118,81,175,27.9,55.8,0,977.8,46,1.5,78,90
19.6,0.12,36,0,13.7,0,0,0,0,0,0,26.2,68.6,0,979.8,49,1.6,103,9
19.7,0.12,36,0,13.7,0,0,0,0,0,0,26.3,68.4,0,980.2,48,1.6,103,60
19.7,0.12,36,0,13.7,0,0,0,0,0,0,26.3,68.4,0,980.2,48,1.6,103,55
18.5,0.12,23,0,13.5,0,0,0,0,0,0,25.3,72.8,0,979.2,49,1.7,108,6
18.5,0.12,23,0,13.5,0,0,0,0,0,0,25.3,72.8,0,979.2,49,1.7,108,50
16.5,0.11,-21,0,13,0,0,0,0,0,0,22.8,79.6,0,980,47,1.6,108,150
16.6,0.11,-21,0,13,0,0,0,0,0,0,22.9,79.4,0,980.5,47,1.6,108,5
16.6,0.11,-21,0,13,0,0,0,0,0,0,22.9,79.4,0,980.5,47,1.6,108,26
16,0.11,-34,0,12.6,0,0,0,0,0,0,22.9,80.3,0,979.2,50,1.6,104,0
16,0.11,-34,0,12.6,0,0,0,0,0,0,22.9,80.3,0,979.2,50,1.6,104,75
17.3,0.11,-67,10.6,13.1,62,247,54,116,47,211,24,76.4,0,980.5,54,2.1,79,60
17.3,0.11,-67,10.6,13.1,62,248,55,116,47,211,24,76.2,0,980.9,54,2.1,79,12
17.3,0.11,-67,10.6,13.1,62,248,55,116,47,211,24,76.2,0,980.9,54,2.1,79,10
18.4,0.11,-77,0,13.8,71,608,217,289,142,662,24.3,74.5,0,980.1,53,2.4,69,1
18.4,0.11,-77,0,13.8,71,608,217,289,142,662,24.3,74.5,0,980.1,53,2.4,69,3
22.5,0.11,-112,0,12.1,114,813,638,752,693,868,25.9,51.8,0,981.3,65,1.9,38,45
23.8,0.11,-131,4.1,12,192,715,621,813,773,825,25.9,47.4,0,981.5,69,1.4,29,80
23.8,0.11,-131,4.1,12,192,715,621,813,773,825,25.9,47.4,0,981.5,69,1.4,29,7
23.7,0.11,-131,3.1,11.8,176,746,648,824,784,837,25.7,47.3,0,980.3,70,1.4,29,1
23.7,0.11,-131,3.1,11.8,176,746,648,824,784,837,25.7,47.3,0,980.3,70,1.4,29,1
26.7,0.11,135,0,12.7,137,819,722,859,825,860,24.9,42,0,979.7,231,0.9,28,6
26.7,0.11,135,0,12.8,137,819,722,859,824,860,24.9,42,0,980.2,230,0.9,28,4
26.7,0.11,135,0,12.8,137,819,722,859,824,860,24.9,42,0,980.2,230,0.9,28,5
26.7,0.11,135,0,12.6,137,820,722,859,825,861,24.9,41.8,0,978.9,230,0.9,28,0
26.7,0.11,135,0,12.6,137,820,722,859,825,861,24.9,41.8,0,978.9,230,0.9,28,100
24.8,0.11,79,0,13.4,80,608,232,312,170,684,25.8,49.1,0,978.5,228,1.1,68,23
24.9,0.11,79,0,13.4,79,608,232,312,170,683,25.8,48.8,0,979,227,1.1,68,70
23.9,0.11,69,0,15,52,444,97,149,37,306,25.9,57.8,0,978.8,221,0.7,78,35
23.7,0.11,69,0,15.3,52,442,96,148,36,303,25.9,59.2,0,977.6,226,0.6,78,4
23.7,0.11,69,0,15.3,52,442,96,148,36,303,25.9,59.2,0,977.6,226,0.6,78,80
21.5,0.11,36,0,15.6,0,0,0,0,0,0,25.6,69.1,0,978.4,124,0.7,103,16
21.5,0.11,36,0,15.5,0,0,0,0,0,0,25.6,68.4,0,978.9,126,0.7,103,75
21.5,0.11,36,0,15.5,0,0,0,0,0,0,25.6,68.4,0,978.9,126,0.7,103,5
20.4,0.11,23,0,15.6,0,0,0,0,0,0,25.3,73.8,0,977.4,115,1,108,4
20.4,0.11,23,0,15.6,0,0,0,0,0,0,25.3,73.8,0,977.4,115,1,108,50
18.1,0.11,-21,0,15,0,0,0,0,0,0,24,82.5,0,977.3,107,1.3,109,28
18.2,0.11,-21,0,15,0,0,0,0,0,0,24,82.1,0,977.8,106,1.3,109,4
18.2,0.11,-21,0,15,0,0,0,0,0,0,24,82.1,0,977.8,106,1.3,109,2
17.9,0.11,-34,0,14.8,0,0,0,0,0,0,24,81.8,0,976.3,112,1.1,104,3
17.9,0.11,-34,0,14.8,0,0,0,0,0,0,24,81.8,0,976.3,112,1.1,104,38
19.4,0.11,-67,14.6,15,75,119,27,102,62,155,24.1,75.6,0,976.8,115,0.6,79,85
19.5,0.11,-67,16.3,15,77,98,23,99,65,146,24.1,75.4,0,977.3,112,0.6,79,120
19.5,0.11,-67,16.3,15,77,98,23,99,65,146,24.1,75.4,0,977.3,112,0.6,79,60
20.3,0.11,-77,0.9,15.4,93,503,181,273,146,594,24.2,73.5,0,976,115,0.5,69,3
20.3,0.11,-77,0.9,15.4,93,503,181,273,146,594,24.2,73.5,0,976,115,0.5,69,180
25.5,0.11,-112,2.4,12.2,196,661,520,716,651,802,25.3,43.6,0,976.7,195,1.2,38,26
26.9,0.11,-131,0,11.9,127,825,719,845,811,862,25.7,39.3,0,977,203,1.7,29,12
26.9,0.11,-131,0,11.9,127,825,719,845,811,862,25.7,39.3,0,977,203,1.7,29,60
26.9,0.11,-131,1.6,11.9,155,779,679,833,794,844,25.6,39.3,0,975.7,204,1.7,29,0
26.9,0.11,-131,1.6,11.9,155,779,679,833,794,844,25.6,39.3,0,975.7,204,1.7,29,110
28.7,0.11,115,0,12.9,128,794,636,764,708,857,26.2,37.8,0,975.4,217,3.3,37,390
28.7,0.11,115,0,12.9,128,793,635,763,707,856,26.2,37.9,0,975.8,217,3.3,37,55
28.7,0.11,115,0,12.9,128,793,635,763,707,856,26.2,37.9,0,975.8,217,3.3,37,7
29,0.11,135,0,13.4,129,826,727,856,825,860,26.4,38.4,0,974.8,216,3.1,28,3
29,0.11,135,0,13.4,129,826,727,856,825,860,26.4,38.4,0,974.8,216,3.1,28,15
26.5,0.11,79,0,13.6,91,549,211,302,171,644,25.8,44.9,0,975,213,2.6,68,15
26.5,0.11,79,0,13.5,91,548,210,302,171,643,25.8,44.8,0,975.5,212,2.6,68,45
26.5,0.11,79,0,13.5,91,548,210,302,171,643,25.8,44.8,0,975.5,212,2.6,68,180
26.5,0.11,79,0,13.6,91,550,210,301,170,644,25.8,45,0,974.2,215,2.6,68,4
26.5,0.11,79,0,13.6,91,550,210,301,170,644,25.8,45,0,974.2,215,2.6,68,100
21.4,0.11,36,0,15.6,0,0,0,0,0,0,26.1,69.6,0,975.8,191,1.4,103,4
21.4,0.11,36,0,15.5,0,0,0,0,0,0,26.2,69.2,0,976.3,189,1.4,103,520
21.4,0.11,36,0,15.5,0,0,0,0,0,0,26.2,69.2,0,976.3,189,1.4,103,1300
20.3,0.11,23,0,15.7,0,0,0,0,0,0,26.3,75.1,0,975.1,195,1.4,108,15
20.3,0.11,23,0,15.7,0,0,0,0,0,0,26.3,75.1,0,975.1,195,1.4,108,90
